"sites","Bloc","Coupe","Exclos","Analogue","Diam_bas","Diam_api","Longueur","Classe"
"DCTAEA1","D","totale","avec",1,"19,7","19,3","334",3
"DCTAEA1","D","totale","avec",1,"12,2","9,1","160",2
"DCTAEA1","D","totale","avec",1,"12,8","6,7","231",2
"DCTAEA1","D","totale","avec",1,"9,3","3,1","271",4
"DCTAEA1","D","totale","avec",1,"12,3","10,4","394",3
"DCTAEA1","D","totale","avec",1,"9,5","8,5","295",3
"DCTAEA1","D","totale","avec",1,"12,4","10,7","242",4
"DCTAEA1","D","totale","avec",1,"22,2","17,8","143",4
"DCTAEA1","D","totale","avec",1,"28,1","19,3","220",3
"DCTAEA1","D","totale","avec",1,"13,2","11","134",3
"DCTAEA1","D","totale","avec",1,"23,6","22,4","219",3
"DCTAEA1","D","totale","avec",1,"29,7","25,4","218",3
"DCTAEA1","D","totale","avec",1,"14,4","9,7","112",4
"DCTAEA1","D","totale","avec",1,"9,7","10,3","272",3
"DCTAEA1","D","totale","avec",1,"20","18,3","187",3
"DCTAEA1","D","totale","avec",1,"10","8,7","173",2
"DCTAEA1","D","totale","avec",1,"19,9","18,8","240",4
"DCTAEA1","D","totale","avec",1,"11,8","11,2","106",3
"DCTAEA1","D","totale","avec",1,"35,2","20,9","353",2
"DCTAEA1","D","totale","avec",1,"17","11,4","109",4
"DCTAEA1","D","totale","avec",1,"16,1","15,2","121",3
"DCTAEA1","D","totale","avec",1,"17,5","16","123",3
"DCTAEA1","D","totale","avec",1,"9,2","7,1","220",3
"DCTAEA1","D","totale","avec",1,"20,1","19,8","137",3
"DCTAEA1","D","totale","avec",1,"20,5","19,2","264",4
"DCTAEA1","D","totale","avec",1,"20,1","19,3","141",3
"DCTAEA1","D","totale","avec",1,"18,5","17,7","103",4
"DCTAEA1","D","totale","avec",1,"24,1","21,4","488",3
"DCTAEA1","D","totale","avec",1,"19,7","19,4","227",2
"DCTAEA1","D","totale","avec",1,"12,7","11,6","184",3
"DCTAEA1","D","totale","avec",1,"13","4,9","332",3
"DCTAEA1","D","totale","avec",1,"6,1","3,7","330",3
"DCTAEA1","D","totale","avec",1,"9,2","6,9","125",3
"DCTAEA1","D","totale","avec",1,"11,2","9,8","330",3
"DCTAEA1","D","totale","avec",1,"22,9","12,4","405",2
"DCTAEA1","D","totale","avec",1,"12,4","6,9","305",2
"DCTAEA1","D","totale","avec",1,"14,6","6,7","221",2
"DCTAEA1","D","totale","avec",1,"11,8","3,2","552",3
"DCTAEA1","D","totale","avec",1,"13,3","13,1","113",4
"DCTAEA1","D","totale","avec",1,"23,6","21,1","108",4
"DCTAEA1","D","totale","avec",1,"13,9","11,8","118",4
"DCTAEA1","D","totale","avec",1,"18,8","9,8","103",3
"DCTAEA1","D","totale","avec",1,"11,6","3,2","550",2
"DCTAEA1","D","totale","avec",1,"10,3","10,1","102",2
"DCTAEA1","D","totale","avec",1,"14,7","9,2","177",4
"DCTAEA1","D","totale","avec",1,"13,9","10,5","146",3
"DCTAEA1","D","totale","avec",1,"13,4","7,1","506",2
"DCTAEA1","D","totale","avec",1,"13,5","7,6","145",3
"DCTAEA1","D","totale","avec",1,"11,6","17,7","175",2
"DCTAEA1","D","totale","avec",1,"12,1","9","220",3
"DCTAEA1","D","totale","avec",1,"30","9,6","127",3
"DCTAEA1","D","totale","avec",1,"16,3","11,1","325",3
"DCTAEA1","D","totale","avec",1,"19,2","13,2","420",2
"DCTAEA1","D","totale","avec",1,"15,7","5","330",3
"DCTAEA1","D","totale","avec",1,"8","4,4","185",3
"DCTAEA3","D","totale","avec",3,"15,5","7,6","208",3
"DCTAEA3","D","totale","avec",3,"9,9","9,7","208",2
"DCTAEA3","D","totale","avec",3,"14,3","10","142",3
"DCTAEA3","D","totale","avec",3,"23,1","15,9","568",3
"DCTAEA3","D","totale","avec",3,"20,3","18,2","168",3
"DCTAEA3","D","totale","avec",3,"10,8","7,6","153",2
"DCTAEA3","D","totale","avec",3,"9,2","8,4","121",2
"DCTAEA3","D","totale","avec",3,"16,4","15,9","142",2
"DCTAEA3","D","totale","avec",3,"18,9","11,9","124",2
"DCTAEA3","D","totale","avec",3,"20,9","19,1","102",3
"DCTAEA3","D","totale","avec",3,"24,4","15,1","219",3
"DCTAEA3","D","totale","avec",3,"12,3","5,3","350",4
"DCTAEA3","D","totale","avec",3,"14,1","6,1","350",3
"DCTAEA3","D","totale","avec",3,"12,3","8,2","194",2
"DCTAEA3","D","totale","avec",3,"12,3","9,1","208",2
"DCTAEA3","D","totale","avec",3,"10,3","12,7","171",3
"DCTAEA3","D","totale","avec",3,"9,3","6,3","225",4
"DCTAEA3","D","totale","avec",3,"11,1","6,8","303",2
"DCTAEA3","D","totale","avec",3,"14,1","9,4","173",2
"DCTAEA3","D","totale","avec",3,"26,3","23,7","180",2
"DCTAEA3","D","totale","avec",3,"13,7","8,9","460",2
"DCTAEA3","D","totale","avec",3,"11,8","7,4","460",2
"DCTAEA3","D","totale","avec",3,"13,6","5,4","460",4
"DCTAEA3","D","totale","avec",3,"11,3","2,6","460",3
"DCTAEA3","D","totale","avec",3,"14,2","4","460",4
"DCTAEA3","D","totale","avec",3,"10,4","9,2","303",2
"DCTAEA3","D","totale","avec",3,"9,6","6,7","178",3
"DCTAEA3","D","totale","avec",3,"12,4","6,1","130",2
"DCTAEA3","D","totale","avec",3,"11,8","4,5","243",3
"DCTAEA3","D","totale","avec",3,"31,3","31","110",3
"DCTAEA3","D","totale","avec",3,"22,8","12,8","145",3
"DCTAEA3","D","totale","avec",3,"21,9","17,8","198",2
"DCTAEA3","D","totale","avec",3,"30,7","27,9","108",3
"DCTAEA3","D","totale","avec",3,"10,9","8,6","279",3
"DCTAEA3","D","totale","avec",3,"9,1","6","193",4
"DCTAEA3","D","totale","avec",3,"19,2","17,7","209",4
"DCTAEA3","D","totale","avec",3,"13,7","11","133",3
"DCTAEA3","D","totale","avec",3,"14,7","14,6","465",3
"DCTAEA3","D","totale","avec",3,"10,2","7,6","120",3
"DCTAEA3","D","totale","avec",3,"41,9","30,7","130",3
"DCTAEA3","D","totale","avec",3,"20,4","19,7","127",3
"DCTAEA3","D","totale","avec",3,"17","13,7","142",3
"DCTAEA3","D","totale","avec",3,"18","12,9","187",4
"DCTAEA3","D","totale","avec",3,"13,6","12,8","106",4
"DCTAEA3","D","totale","avec",3,"18,6","18,5","124",3
"DCTAEA3","D","totale","avec",3,"18,5","16,1","124",3
"DCTAEA3","D","totale","avec",3,"11,4","7,7","325",2
"DCTAEA3","D","totale","avec",3,"9,5","7,2","346",4
"DCTAEA3","D","totale","avec",3,"9,4","4","438",4
"DCTAEA3","D","totale","avec",3,"16,1","10","299",2
"DCTAEA3","D","totale","avec",3,"14,1","13","141",4
"DCTAEA3","D","totale","avec",3,"12,1","9,6","158",3
"DCTAEA3","D","totale","avec",3,"16,7","14,3","154",3
"DCTAEA3","D","totale","avec",3,"23","15,9","492",4
"DCTAEA3","D","totale","avec",3,"20,7","15,9","154",3
"DCTAEA3","D","totale","avec",3,"14,3","14,1","186",3
"DCTAEA3","D","totale","avec",3,"11,7","9,4","144",3
"DCTAEA3","D","totale","avec",3,"11,7","8,9","194",2
"DCTAEA3","D","totale","avec",3,"19,9","18,4","106",4
"DCTAEA3","D","totale","avec",3,"14,6","11","175",4
"DCTAEA3","D","totale","avec",3,"23,8","22,6","109",3
"DCTAEA3","D","totale","avec",3,"10,3","8,7","190",3
"DCTAEA3","D","totale","avec",3,"9,7","9,1","173",2
"DCTAEA2","D","totale","avec",2,"14,6","14,2","106",3
"DCTAEA2","D","totale","avec",2,"9,6","8","220",3
"DCTAEA2","D","totale","avec",2,"11","10,5","124",3
"DCTAEA2","D","totale","avec",2,"14,2","12,2","175",3
"DCTAEA2","D","totale","avec",2,"9,8","9,3","131",4
"DCTAEA2","D","totale","avec",2,"26,7","18,3","205",3
"DCTAEA2","D","totale","avec",2,"12,2","9,1","380",4
"DCTAEA2","D","totale","avec",2,"9,1","8,5","106",2
"DCTAEA2","D","totale","avec",2,"13,2","10,2","153",3
"DCTAEA2","D","totale","avec",2,"10,1","6,3","192",3
"DCTAEA2","D","totale","avec",2,"10,9","9,7","204",3
"DCTAEA2","D","totale","avec",2,"9,6","6,3","254",2
"DCTAEA2","D","totale","avec",2,"10,7","7,2","228",4
"DCTAEA2","D","totale","avec",2,"10,2","11,1","140",4
"DCTAEA2","D","totale","avec",2,"11,4","9,1","132",3
"DCTAEA2","D","totale","avec",2,"23,6","17,9","182",3
"DCTAEA2","D","totale","avec",2,"13,5","7,6","292",4
"DCTAEA2","D","totale","avec",2,"12,8","12,6","107",2
"DCTAEA2","D","totale","avec",2,"18,7","14","144",2
"DCTAEA2","D","totale","avec",2,"15,9","14,3","261",4
"DCTAEA2","D","totale","avec",2,"10,7","8","114",3
"DCTAEA2","D","totale","avec",2,"10,4","5,3","156",2
"DCTAEA2","D","totale","avec",2,"14,2","10,5","245",2
"DCTAEA2","D","totale","avec",2,"17,3","14,2","160",2
"DCTAEA2","D","totale","avec",2,"13,3","11,9","105",4
"DCTAEA2","D","totale","avec",2,"20,4","17,1","177",2
"DCTAEA2","D","totale","avec",2,"24,9","19,1","400",3
"DCTAEA2","D","totale","avec",2,"16,6","16,4","132",3
"DCTAEA2","D","totale","avec",2,"13,9","10,9","140",2
"DCTSEA3","D","totale","sans",3,"16,6","16,4","138",4
"DCTSEA3","D","totale","sans",3,"10","7,9","238",3
"DCTSEA3","D","totale","sans",3,"9,5","9,4","137",2
"DCTSEA3","D","totale","sans",3,"20,4","19,5","219",4
"DCTSEA3","D","totale","sans",3,"29,7","23,8","121",4
"DCTSEA3","D","totale","sans",3,"21,4","19,1","127",4
"DCTSEA3","D","totale","sans",3,"15,4","14,1","102",3
"DCTSEA3","D","totale","sans",3,"28,5","23,6","574",2
"DCTSEA3","D","totale","sans",3,"18,5","15,4","184",3
"DCTSEA3","D","totale","sans",3,"23,6","20,7","112",3
"DCTSEA3","D","totale","sans",3,"10,5","9,2","206",4
"DCTSEA3","D","totale","sans",3,"17,9","16,8","146",3
"DCTSEA1","D","totale","sans",1,"10,2","9,6","161",2
"DCTSEA1","D","totale","sans",1,"9","5,1","113",2
"DCTSEA1","D","totale","sans",1,"23,8","20,8","155",3
"DCTSEA1","D","totale","sans",1,"14,6","8,9","314",2
"DCTSEA1","D","totale","sans",1,"10,1","9,7","166",2
"DCTSEA1","D","totale","sans",1,"24,4","10,4","313",3
"DCTSEA1","D","totale","sans",1,"18,3","7,7","101",4
"DCTSEA1","D","totale","sans",1,"12,6","10,8","100",4
"DCTSEA1","D","totale","sans",1,"10,1","9,8","133",4
"DCTSEA1","D","totale","sans",1,"18,5","18,2","144",2
"DCTSEA1","D","totale","sans",1,"9,8","7,3","200",3
"DCTSEA1","D","totale","sans",1,"9,1","8,1","337",2
"DCTSEA1","D","totale","sans",1,"13,4","9,1","213",4
"DCTSEA1","D","totale","sans",1,"21,9","10,3","432",3
"DCTSEA1","D","totale","sans",1,"19,4","15,7","154",2
"DCTSEA1","D","totale","sans",1,"25,4","19,4","183",4
"DCTSEA1","D","totale","sans",1,"13,7","12,3","141",2
"DCTSEA2","D","totale","sans",2,"11,8","8,4","174",2
"DCTSEA2","D","totale","sans",2,"16,4","8,7","445",3
"DCTSEA2","D","totale","sans",2,"9","6,9","224",4
"DCTSEA2","D","totale","sans",2,"16,7","9,9","335",3
"DCTSEA2","D","totale","sans",2,"18,9","17,1","307",2
"DCTSEA2","D","totale","sans",2,"9,7","8,1","143",3
"DCTSEA2","D","totale","sans",2,"9,6","8,6","134",4
"DCTSEA2","D","totale","sans",2,"9,8","9,7","110",3
"DCTSEA2","D","totale","sans",2,"16,4","4,1","328",2
"DCTSEA2","D","totale","sans",2,"13,4","3,6","626",3
"DCTSEA2","D","totale","sans",2,"9,8","5,7","246",2
"DCTSEA2","D","totale","sans",2,"12,3","4,9","142",3
"DCTSEA2","D","totale","sans",2,"25,6","10,9","118",3
"DCTSEA2","D","totale","sans",2,"12,4","10","310",2
"DCTSEA2","D","totale","sans",2,"39,4","29,7","230",4
"DCTSEA2","D","totale","sans",2,"14,2","11,1","146",4
"DCTSEA2","D","totale","sans",2,"16,2","8,3","255",3
"DCTSEA2","D","totale","sans",2,"16,8","13,6","124",2
"DCTSEA2","D","totale","sans",2,"12,6","3,5","375",3
"DCTSEA2","D","totale","sans",2,"20,1","18","119",4
"DCTSEA2","D","totale","sans",2,"24,9","22,3","139",3
"DCTSEA2","D","totale","sans",2,"24,9","22,9","164",4
"ACPSEA3","A","partielle","sans",3,"11,4","9,9","134",2
"ACPSEA3","A","partielle","sans",3,"10,5","6,5","739",2
"ACPSEA3","A","partielle","sans",3,"16,5","10,6","232",2
"ACPSEA3","A","partielle","sans",3,"24","21","363",3
"ACPSEA3","A","partielle","sans",3,"25","14,9","265",3
"ACPSEA3","A","partielle","sans",3,"14,6","11,3","297",2
"ACPSEA3","A","partielle","sans",3,"13,7","7,7","398",3
"ACPSEA3","A","partielle","sans",3,"32,3","25,5","260",4
"ACPSEA3","A","partielle","sans",3,"18,7","13,5","500",2
"ACPSEA3","A","partielle","sans",3,"20,5","13,4","226",2
"ACPSEA3","A","partielle","sans",3,"39,8","24","414",4
"ACPSEA3","A","partielle","sans",3,"43,6","28,9","140",3
"ACPSEA3","A","partielle","sans",3,"26,2","23,6","138",4
"ACPSEA3","A","partielle","sans",3,"15,2","8,1","337",4
"ACPSEA3","A","partielle","sans",3,"21,6","20,4","110",4
"ACPSEA3","A","partielle","sans",3,"12,3","7,9","106",2
"ACPSEA3","A","partielle","sans",3,"11,8","7,6","295",2
"ACPSEA2","A","partielle","sans",2,"14","8,7","338",2
"ACPSEA2","A","partielle","sans",2,"9","7,3","327",2
"ACPSEA2","A","partielle","sans",2,"32,1","23,6","240",2
"ACPSEA2","A","partielle","sans",2,"43,9","35,7","304",4
"ACPSEA2","A","partielle","sans",2,"34,5","26,9","296",4
"ACPSEA2","A","partielle","sans",2,"27,8","17","143",3
"ACPSEA2","A","partielle","sans",2,"25,1","24,6","159",4
"ACPSEA2","A","partielle","sans",2,"15,5","12,1","108",4
"ACPSEA2","A","partielle","sans",2,"11,5","9,2","169",3
"ACPSEA2","A","partielle","sans",2,"11,5","9,2","169",3
"ACPSEA2","A","partielle","sans",2,"11,5","9,2","169",3
"ACPSEA2","A","partielle","sans",2,"11,4","8,9","254",1
"ACPSEA2","A","partielle","sans",2,"15,1","11,5","173",1
"ACPSEA2","A","partielle","sans",2,"10,2","8,9","107",3
"ACPSEA2","A","partielle","sans",2,"15,1","10,6","427",4
"ACPSEA2","A","partielle","sans",2,"17","14,2","153",2
"ACPSEA2","A","partielle","sans",2,"9,7","9,1","200",3
"ACPSEA1","A","partielle","sans",1,"9,8","9,1","264",4
"ACPSEA1","A","partielle","sans",1,"23,9","18,7","330",3
"ACPSEA1","A","partielle","sans",1,"10,3","7,4","233",3
"ACPSEA1","A","partielle","sans",1,"13,8","12,3","13,5",2
"ACPSEA1","A","partielle","sans",1,"11,1","10,1","125",2
"ACPSEA1","A","partielle","sans",1,"17,5","14,5","218",4
"ACPSEA1","A","partielle","sans",1,"25,1","21,3","240",4
"ACPSEA1","A","partielle","sans",1,"12,3","12,2","138",4
