"site","ID","day","month","ext","order","family","Bloc","Coupe","Exclos","Analogue","ord.fam"
"AT2","col028",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT3","col385",11,"juillet",3,"Poduromorpha","Hypogastruridae","A","temoin","sans","temoin","Poduromorpha Hypogastruridae"
"AT3","col384",11,"juillet",3,"Entomobryomorpha","Isotomidae","A","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"AT3","col386",11,"juillet",3,"Symphypleona","Neelidae","A","temoin","sans","temoin","Symphypleona Neelidae"
"AT3","col388",11,"juillet",3,"Symphypleona","Neelidae","A","temoin","sans","temoin","Symphypleona Neelidae"
"AT3","col387",11,"juillet",3,"Entomobryomorpha","Isotomidae","A","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"BCPAEA1","col049",20,"mai",3,"Symphypleona","Dicyrtomidae","B","partielle","avec","1","Symphypleona Dicyrtomidae"
"BCPAEA1","col305",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col294",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col302",15,"juillet",3,"Poduromorpha","Tullbergidae","B","partielle","avec","1","Poduromorpha Tullbergidae"
"BCPAEA1","col340",15,"juillet",6,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col306",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col307",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col303",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col344",15,"juillet",6,"Poduromorpha","Onychiuridae","B","partielle","avec","1","Poduromorpha Onychiuridae"
"BCPAEA1","col299",15,"juillet",3,"Poduromorpha","Tullbergidae","B","partielle","avec","1","Poduromorpha Tullbergidae"
"BCPAEA1","col301",15,"juillet",3,"Poduromorpha","Tullbergidae","B","partielle","avec","1","Poduromorpha Tullbergidae"
"BCPAEA1","col343",15,"juillet",6,"Poduromorpha","Onychiuridae","B","partielle","avec","1","Poduromorpha Onychiuridae"
"BCPAEA1","col347",15,"juillet",6,"Poduromorpha","Onychiuridae","B","partielle","avec","1","Poduromorpha Onychiuridae"
"BCPAEA1","col345",15,"juillet",6,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col346",15,"juillet",6,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col304",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col298",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col342",15,"juillet",6,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col339",15,"juillet",6,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col300",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col341",15,"juillet",6,"Entomobryomorpha","Isotomidae","B","partielle","avec","1","Entomobryomorpha Isotomidae"
"BCPAEA1","col297",15,"juillet",3,"Poduromorpha","Tullbergidae","B","partielle","avec","1","Poduromorpha Tullbergidae"
"BCPAEA1","col464",18,"aout",3,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col295",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col296",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","partielle","avec","1","Poduromorpha Hypogastruridae"
"BCPAEA1","col463",18,"aout",3,"Poduromorpha","Onychiuridae","B","partielle","avec","1","Poduromorpha Onychiuridae"
"BCPAEA1","col462",18,"aout",3,"Poduromorpha","Onychiuridae","B","partielle","avec","1","Poduromorpha Onychiuridae"
"BCPAEA2","col291",15,"juillet",3,"Entomobryomorpha","Tomoceridae","B","partielle","avec","2","Entomobryomorpha Tomoceridae"
"BCPAEA2","col157",20,"juin",6,"Entomobryomorpha","Entomobryidae","B","partielle","avec","2","Entomobryomorpha Entomobryidae"
"BCPAEA2","col026",20,"mai",3,"Symphypleona","Sminthuridae","B","partielle","avec","2","Symphypleona Sminthuridae"
"BCPAEA2","col156",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","avec","2","Entomobryomorpha Isotomidae"
"BCPAEA2","col158",20,"juin",6,"Entomobryomorpha","Entomobryidae","B","partielle","avec","2","Entomobryomorpha Entomobryidae"
"BCPAEA3","col144",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","avec","3","Entomobryomorpha Isotomidae"
"BCPAEA3","col483",18,"aout",3,"Entomobryomorpha","Isotomidae","B","partielle","avec","3","Entomobryomorpha Isotomidae"
"BCPAEA3","col145",20,"juin",6,"Poduromorpha","Neanuridae","B","partielle","avec","3","Poduromorpha Neanuridae"
"BCPSEA1","col129",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col137",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col038",23,"mai",3,"Symphypleona","Katiannidae","B","partielle","sans","1","Symphypleona Katiannidae"
"BCPSEA1","col141",20,"juin",6,"Poduromorpha","Neanuridae","B","partielle","sans","1","Poduromorpha Neanuridae"
"BCPSEA1","col127",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col128",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col132",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col131",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col139",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col143",20,"juin",6,"Poduromorpha","Neanuridae","B","partielle","sans","1","Poduromorpha Neanuridae"
"BCPSEA1","col130",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col136",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col135",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col133",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col134",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col140",20,"juin",6,"Entomobryomorpha","Isotomidae","B","partielle","sans","1","Entomobryomorpha Isotomidae"
"BCPSEA1","col138",20,"juin",6,"Symphypleona","Neelidae","B","partielle","sans","1","Symphypleona Neelidae"
"BCPSEA1","col372",15,"juillet",6,"Poduromorpha","Tullbergidae","B","partielle","sans","1","Poduromorpha Tullbergidae"
